source,target,from,to
00:00,0時0分,en,ja
00:15,0時15分,en,ja
00:30,0時30分,en,ja
00:45,0時45分,en,ja
01:00,1時0分,en,ja
01:15,1時15分,en,ja
01:30,1時30分,en,ja
01:45,1時45分,en,ja
02:00,2時0分,en,ja
02:15,2時15分,en,ja
02:30,2時30分,en,ja
02:45,2時45分,en,ja
03:00,3時0分,en,ja
03:15,3時15分,en,ja
03:30,3時30分,en,ja
03:45,3時45分,en,ja
04:00,4時0分,en,ja
04:15,4時15分,en,ja
04:30,4時30分,en,ja
04:45,4時45分,en,ja
05:00,5時0分,en,ja
05:15,5時15分,en,ja
05:30,5時30分,en,ja
05:45,5時45分,en,ja
06:00,6時0分,en,ja
06:15,6時15分,en,ja
06:30,6時30分,en,ja
06:45,6時45分,en,ja
07:00,7時0分,en,ja
07:15,7時15分,en,ja
07:30,7時30分,en,ja
07:45,7時45分,en,ja
08:00,8時0分,en,ja
08:15,8時15分,en,ja
08:30,8時30分,en,ja
08:45,8時45分,en,ja
09:00,9時0分,en,ja
09:15,9時15分,en,ja
09:30,9時30分,en,ja
09:45,9時45分,en,ja
1,1,en,ja
1/1,1月1日,en,ja
1/10,1月10日,en,ja
1/11,1月11日,en,ja
1/12,1月12日,en,ja
1/13,1月13日,en,ja
1/14,1月14日,en,ja
1/15,1月15日,en,ja
1/16,1月16日,en,ja
1/17,1月17日,en,ja
1/18,1月18日,en,ja
1/19,1月19日,en,ja
1/2,1月2日,en,ja
1/20,1月20日,en,ja
1/21,1月21日,en,ja
1/22,1月22日,en,ja
1/23,1月23日,en,ja
1/24,1月24日,en,ja
1/25,1月25日,en,ja
1/26,1月26日,en,ja
1/27,1月27日,en,ja
1/28,1月28日,en,ja
1/29,1月29日,en,ja
1/3,1月3日,en,ja
1/30,1月30日,en,ja
1/31,1月31日,en,ja
1/4,1月4日,en,ja
1/5,1月5日,en,ja
1/6,1月6日,en,ja
1/7,1月7日,en,ja
1/8,1月8日,en,ja
1/9,1月9日,en,ja
10,10,en,ja
10/1,10月1日,en,ja
10/10,10月10日,en,ja
10/11,10月11日,en,ja
10/12,10月12日,en,ja
10/13,10月13日,en,ja
10/14,10月14日,en,ja
10/15,10月15日,en,ja
10/16,10月16日,en,ja
10/17,10月17日,en,ja
10/18,10月18日,en,ja
10/19,10月19日,en,ja
10/2,10月2日,en,ja
10/20,10月20日,en,ja
10/21,10月21日,en,ja
10/22,10月22日,en,ja
10/23,10月23日,en,ja
10/24,10月24日,en,ja
10/25,10月25日,en,ja
10/26,10月26日,en,ja
10/27,10月27日,en,ja
10/28,10月28日,en,ja
10/29,10月29日,en,ja
10/3,10月3日,en,ja
10/30,10月30日,en,ja
10/31,10月31日,en,ja
10/4,10月4日,en,ja
10/5,10月5日,en,ja
10/6,10月6日,en,ja
10/7,10月7日,en,ja
10/8,10月8日,en,ja
10/9,10月9日,en,ja
100,100,en,ja
1000,1000,en,ja
10000,10000,en,ja
100000,100000,en,ja
100001,100001,en,ja
100002,100002,en,ja
100003,100003,en,ja
100004,100004,en,ja
100005,100005,en,ja
100006,100006,en,ja
100007,100007,en,ja
100008,100008,en,ja
100009,100009,en,ja
10001,10001,en,ja
100010,100010,en,ja
100011,100011,en,ja
100012,100012,en,ja
100013,100013,en,ja
100014,100014,en,ja
100015,100015,en,ja
100016,100016,en,ja
100017,100017,en,ja
100018,100018,en,ja
100019,100019,en,ja
10002,10002,en,ja
100020,100020,en,ja
100021,100021,en,ja
100022,100022,en,ja
100023,100023,en,ja
100024,100024,en,ja
100025,100025,en,ja
100026,100026,en,ja
100027,100027,en,ja
100028,100028,en,ja
100029,100029,en,ja
10003,10003,en,ja
100030,100030,en,ja
100031,100031,en,ja
100032,100032,en,ja
100033,100033,en,ja
100034,100034,en,ja
100035,100035,en,ja
100036,100036,en,ja
100037,100037,en,ja
100038,100038,en,ja
100039,100039,en,ja
10004,10004,en,ja
100040,100040,en,ja
100041,100041,en,ja
100042,100042,en,ja
100043,100043,en,ja
100044,100044,en,ja
100045,100045,en,ja
100046,100046,en,ja
100047,100047,en,ja
100048,100048,en,ja
100049,100049,en,ja
10005,10005,en,ja
100050,100050,en,ja
100051,100051,en,ja
100052,100052,en,ja
100053,100053,en,ja
100054,100054,en,ja
100055,100055,en,ja
100056,100056,en,ja
100057,100057,en,ja
100058,100058,en,ja
100059,100059,en,ja
10006,10006,en,ja
100060,100060,en,ja
100061,100061,en,ja
100062,100062,en,ja
100063,100063,en,ja
100064,100064,en,ja
100065,100065,en,ja
100066,100066,en,ja
100067,100067,en,ja
100068,100068,en,ja
100069,100069,en,ja
10007,10007,en,ja
100070,100070,en,ja
100071,100071,en,ja
100072,100072,en,ja
100073,100073,en,ja
100074,100074,en,ja
100075,100075,en,ja
100076,100076,en,ja
100077,100077,en,ja
100078,100078,en,ja
100079,100079,en,ja
10008,10008,en,ja
100080,100080,en,ja
100081,100081,en,ja
100082,100082,en,ja
100083,100083,en,ja
100084,100084,en,ja
100085,100085,en,ja
100086,100086,en,ja
100087,100087,en,ja
100088,100088,en,ja
100089,100089,en,ja
10009,10009,en,ja
100090,100090,en,ja
100091,100091,en,ja
100092,100092,en,ja
100093,100093,en,ja
100094,100094,en,ja
100095,100095,en,ja
100096,100096,en,ja
100097,100097,en,ja
100098,100098,en,ja
100099,100099,en,ja
1001,1001,en,ja
10010,10010,en,ja
100100,100100,en,ja
100101,100101,en,ja
100102,100102,en,ja
100103,100103,en,ja
100104,100104,en,ja
100105,100105,en,ja
100106,100106,en,ja
100107,100107,en,ja
100108,100108,en,ja
100109,100109,en,ja
10011,10011,en,ja
100110,100110,en,ja
100111,100111,en,ja
100112,100112,en,ja
100113,100113,en,ja
100114,100114,en,ja
100115,100115,en,ja
100116,100116,en,ja
100117,100117,en,ja
100118,100118,en,ja
100119,100119,en,ja
10012,10012,en,ja
100120,100120,en,ja
100121,100121,en,ja
100122,100122,en,ja
100123,100123,en,ja
100124,100124,en,ja
100125,100125,en,ja
100126,100126,en,ja
100127,100127,en,ja
100128,100128,en,ja
100129,100129,en,ja
10013,10013,en,ja
100130,100130,en,ja
100131,100131,en,ja
100132,100132,en,ja
100133,100133,en,ja
100134,100134,en,ja
100135,100135,en,ja
100136,100136,en,ja
100137,100137,en,ja
100138,100138,en,ja
100139,100139,en,ja
10014,10014,en,ja
100140,100140,en,ja
100141,100141,en,ja
100142,100142,en,ja
100143,100143,en,ja
100144,100144,en,ja
100145,100145,en,ja
100146,100146,en,ja
100147,100147,en,ja
100148,100148,en,ja
100149,100149,en,ja
10015,10015,en,ja
100150,100150,en,ja
100151,100151,en,ja
100152,100152,en,ja
100153,100153,en,ja
100154,100154,en,ja
100155,100155,en,ja
100156,100156,en,ja
100157,100157,en,ja
100158,100158,en,ja
100159,100159,en,ja
10016,10016,en,ja
100160,100160,en,ja
100161,100161,en,ja
100162,100162,en,ja
100163,100163,en,ja
100164,100164,en,ja
100165,100165,en,ja
100166,100166,en,ja
100167,100167,en,ja
100168,100168,en,ja
100169,100169,en,ja
10017,10017,en,ja
100170,100170,en,ja
100171,100171,en,ja
100172,100172,en,ja
100173,100173,en,ja
100174,100174,en,ja
100175,100175,en,ja
100176,100176,en,ja
100177,100177,en,ja
100178,100178,en,ja
100179,100179,en,ja
10018,10018,en,ja
100180,100180,en,ja
100181,100181,en,ja
100182,100182,en,ja
100183,100183,en,ja
100184,100184,en,ja
100185,100185,en,ja
100186,100186,en,ja
100187,100187,en,ja
100188,100188,en,ja
100189,100189,en,ja
10019,10019,en,ja
100190,100190,en,ja
100191,100191,en,ja
100192,100192,en,ja
100193,100193,en,ja
100194,100194,en,ja
100195,100195,en,ja
100196,100196,en,ja
100197,100197,en,ja
100198,100198,en,ja
100199,100199,en,ja
1002,1002,en,ja
10020,10020,en,ja
100200,100200,en,ja
100201,100201,en,ja
100202,100202,en,ja
100203,100203,en,ja
100204,100204,en,ja
